freq,ampl_A,ampl_B,ampl_C
2345,0.005389011,0.009647776,0.011647702
2346,0.0055585206,0.006925348,0.013868271
2347,0.0016819505,0.010565139,0.011607409
2348,0.012782235,0.014703916,0.010703097
2349,0.0066113053,0.010143476,0.008680986
2350,0.0040920833,0.012721166,0.012517231
2351,0.0059692534,0.008900796,0.016941233
2352,0.0070702797,0.008763393,0.01341945
2353,0.007172401,0.022524986,0.0023489755
2354,0.0065344214,0.009702929,0.010141739
2355,0.0034090327,0.00642958,0.010944047
2356,0.0066214763,0.013439853,0.012904624
2357,0.004274866,0.008387855,0.014535426
2358,0.007276836,0.011240802,0.017094065
2359,0.014416557,0.016097527,0.01403541
2360,0.002194033,0.008205384,0.010619529
2361,0.0015523703,0.0122287795,0.011051802
2362,0.010311005,0.007555313,0.015725555
2363,0.004859084,0.014887542,0.014206827
2364,0.0020022953,0.006883408,0.011755759
2365,0.0058041597,0.008734781,0.011797261
2366,0.0050250115,0.013840502,0.004120872
2367,0.0051136725,0.00892733,0.0064040334
2368,0.0008871888,0.010397825,0.0058848946
2369,0.006276656,0.00999611,0.005535977
2370,0.005410264,0.0125412475,0.01157045
2371,0.010028176,0.006737014,0.009858813
2372,0.0042391466,0.010902456,0.011389628
2373,0.012151542,0.010057734,0.011775318
2374,0.008503398,0.0014616353,0.009777244
2375,0.0062479777,0.019289972,0.0069287564
2376,0.019108653,0.020618862,0.008635199
2377,0.012892327,0.006940353,0.015618703
2378,0.026288552,0.038722843,0.017405976
2379,0.049212348,0.054356385,0.036516484
2380,0.010373188,0.022370256,0.003264011
2381,0.023027945,0.014477856,0.03523703
2382,0.010971468,0.021084113,0.009514301
2383,0.012002568,0.015070918,0.011582513
2384,0.014114032,0.022757947,0.0038529835
2385,0.014905861,0.014040065,0.009287439
2386,0.0147953,0.028319646,0.0108827725
2387,0.010653109,0.022539204,0.01240583
2388,0.011420373,0.01872844,0.004908134
2389,0.014485428,0.024579786,0.0016564375
2390,0.008853979,0.020514902,0.008446676
2391,0.02192633,0.023263328,0.003113641
2392,0.019632189,0.019253071,0.009494909
2393,0.018832766,0.009274681,0.012792882
2394,0.008246902,0.030419039,0.009400316
2395,0.025103133,0.021932136,0.011137388
2396,0.01984117,0.01599049,0.0072364793
2397,0.014941769,0.01890345,0.009822229
2398,0.010671236,0.031020563,0.013023828
2399,0.020677073,0.013766457,0.016764326
2400,0.022556238,0.015704144,0.010697741
2401,0.019697214,0.022791928,0.018863814
2402,0.024314303,0.0101204505,0.00040154962
2403,0.015123751,0.020960813,0.018541178
2404,0.030087128,0.018051136,0.010356039
2405,0.01090434,0.0348357,0.022236636
2406,0.045124464,0.0299702,0.021170283
2407,0.02476216,0.037453957,0.0096448595
2408,0.038085837,0.037682276,0.02311381
2409,0.02667748,0.0414177,0.004672366
2410,0.040020313,0.05039385,0.023187099
2411,0.022813292,0.038773052,0.0044865697
2412,0.027404306,0.042418353,0.0513779
2413,0.074400194,0.029235106,0.07302417
2414,0.08596754,0.11035696,0.057084884
2415,0.071330234,0.118543506,0.062524796
2416,0.05875775,0.11966697,0.07798776
2417,0.1342146,0.14240496,0.1324995
2418,0.30210033,0.25969887,0.33147246
2419,0.47400782,0.54701203,0.48099726
2420,0.28768247,0.27169177,0.274689
2421,0.36479586,0.41358173,0.3430744
2422,0.37187538,0.394201,0.43546668
2423,0.11122388,0.099181324,0.10456103
2424,0.30260527,0.3618853,0.3117849
2425,0.26853245,0.26598638,0.30088666
2426,0.039586216,0.013937048,0.068911135
2427,0.10268692,0.14219256,0.072570086
2428,0.09171099,0.09736798,0.12070307
2429,0.009057946,0.0489844,0.043954592
2430,0.02829197,0.05460164,0.05146637
2431,0.042351063,0.042374603,0.06749621
2432,0.046499405,0.003408107,0.04345953
2433,0.05922783,0.02822327,0.072687835
2434,0.03735373,0.011309494,0.08082312
2435,0.025061136,0.051253963,0.02563809
2436,0.037381064,0.014980322,0.074949086
2437,0.013234117,0.038581282,0.043101195
2438,0.014603456,0.039485272,0.034726307
2439,0.022757756,0.040075276,0.025736414
2440,0.025991596,0.032540128,0.030221356
2441,0.016309071,0.04270981,0.023491582
2442,0.026919888,0.025039205,0.033480637
2443,0.013744235,0.026095184,0.04054707
2444,0.017471515,0.028201494,0.03139191
2445,0.012745059,0.033197016,0.02947688
2446,0.019062754,0.036603555,0.018434621
2447,0.038228735,0.02839245,0.0158655
2448,0.015468087,0.028093245,0.035728257
2449,0.01413557,0.021870099,0.03334794
2450,0.022493292,0.017549641,0.025404705
2451,0.017294873,0.019683244,0.029684106
2452,0.001839367,0.028549796,0.027317924
2453,0.023369417,0.022589557,0.02497013
2454,0.021239644,0.01646372,0.024854539
2455,0.023441242,0.025606092,0.033749204
2456,0.0124884825,0.012074308,0.038306363
2457,0.0076796985,0.0070467545,0.021662302
2458,0.023314498,0.031080106,0.010759071
2459,0.018154385,0.028514367,0.021848716
2460,0.011818736,0.029855946,0.018296517
2461,0.005112009,0.03312125,0.011317809
2462,0.02404909,0.020008398,0.032977384
2463,0.011989827,0.021152126,0.035019096
2464,0.00794435,0.012275364,0.020951841
2465,0.023751223,0.029205397,0.018251557
2466,0.02119441,0.06366255,0.046682797
2467,0.034191158,0.042763494,0.04270559
2468,0.030280849,0.004467438,0.004354034
2469,0.014398009,0.01565863,0.02704355
2470,0.016867466,0.019211989,0.023661979
2471,0.038966276,0.047448013,0.054069355
2472,0.0096179405,0.028317664,0.018415628
2473,0.010574779,0.011957083,0.013234817
2474,0.012993201,0.020542908,0.018094288
2475,0.0016705306,0.01588707,0.017077772
2476,0.011978864,0.028133068,0.020086916
2477,0.011920615,0.01973257,0.010450664
2478,0.015717926,0.010114556,0.02643484
2479,0.012236076,0.012423931,0.023972593
2480,0.013629958,0.016877165,0.025555555
2481,0.018411577,0.025990514,0.023813654
2482,0.010746947,0.0118164625,0.018638456
2483,0.01277188,0.015531065,0.021478105
2484,0.0080884835,0.0214216,0.02071667
